,school,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,rnd,pick,completions_total,attempts_total,passing_yards_total,pass_td_total,ints_thrown_total,rush_attempts_total,rush_yards_total,rush_td_total,receptions_total,rec_yards_total,rec_td_total,rush_rec_plays_total,tot_rush_rec_yards,total__rush_rec_tds,college_score_total,completions_avg,attempts_avg,completion_percentage,passing_yards_avg,pass_yards_per_attempt,adjusted_pass_yards_per_attempt,pass_td_avg,ints_thrown_avg,passer_rating,rush_attempts_avg,rush_yards_avg,avg_rush_yards,rush_td_avg,receptions_avg,rec_yards_avg,avg_rec_yards,rec_td_avg,rush_rec_plays_avg,avg_rush_rec_yards,college_score_avg,nfl_score,position_FB,position_QB,position_RB,position_TE,position_WR
378,165.0,193.04,243.0,4.82,27.5,20.0,117.0,7.15,4.38,3.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,14595.0,183679.0,909.0,14595.0,183679.0,1064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,37.0,12.0,0.0,3.0,12.0,0.0,0.5,False,False,False,True,False
379,135.0,198.12,236.0,4.84,28.5,0.0,110.0,6.82,4.27,1.0,18.0,11.0,44.0,121.0,0.0,0.0,92.0,-65.0,0.0,0.0,0.0,0.0,92.0,-65.0,0.0,0.0,1.0,4.0,25.0,11.0,2.8,2.8,0.0,0.0,48.1,2.0,-5.0,-2.5,0.0,0.0,0.0,0.0,0.0,2.0,-2.5,0.0,13.369999999999997,False,True,False,False,False
380,76.0,187.96,231.0,4.79,28.0,0.0,109.0,7.21,4.34,7.0,209.0,41884.0,76097.0,524291.0,4210.0,2428.0,23235.0,66655.0,855.0,164.0,5740.0,0.0,23399.0,72395.0,855.0,5579.28,12.0,19.0,55.2,128.0,7.2,7.2,1.0,0.0,123.0,4.0,12.0,3.8,0.0,1.0,35.0,35.0,0.0,4.0,4.9,34.019999999999996,0.12,False,True,False,False,False
381,23.0,172.72,194.0,4.62,26.5,26.0,112.0,6.96,100.0,7.0,233.0,0.0,0.0,0.0,0.0,0.0,91937.0,470884.0,3871.0,7317.0,69129.0,196.0,99254.0,540013.0,4067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,75.0,4.7,0.0,2.0,13.0,6.0,0.0,14.0,4.8,0.0,0.0,False,False,True,False,False
382,173.0,185.42,217.0,4.44,33.0,23.0,118.0,6.84,4.23,2.0,44.0,161.0,2033.0,644.0,0.0,0.0,99758.0,549163.0,5441.0,12239.0,134121.0,423.0,111997.0,683284.0,5864.0,40430.36,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,117.0,4.8,1.0,3.0,30.0,10.0,0.0,23.0,5.5,24.16,16.35,False,False,True,False,False
383,99.0,182.88,214.0,4.37,34.5,0.0,0.0,100.0,100.0,4.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,False,False,False,False,True
384,103.0,182.88,210.0,4.42,36.5,20.0,125.0,6.9,4.19,6.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,False,False,False,False,True
385,64.0,195.57999999999998,217.0,4.45,31.5,18.0,125.0,6.84,4.2,2.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25574.0,398812.0,5216.0,25574.0,398812.0,5216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,86.0,13.8,1.0,5.0,13.8,0.0,0.0,False,False,False,False,True
386,184.0,190.5,213.0,4.56,28.5,0.0,120.0,7.03,4.43,7.0,215.0,7.0,12.0,287.0,0.0,0.0,255.0,2475.0,0.0,16938.0,262547.0,1269.0,17193.0,265022.0,1269.0,0.0,1.0,1.0,100.0,41.0,41.0,41.0,0.0,0.0,444.4,1.0,10.0,10.0,0.0,2.0,35.0,12.4,0.0,2.0,12.4,0.0,0.0,False,False,False,False,True
387,91.0,175.26,206.0,4.69,28.0,23.0,110.0,100.0,100.0,6.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,8083.0,45.0,496.0,8083.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,13.2,0.0,2.0,13.2,0.0,1.6,False,False,True,False,False
388,23.0,180.34,187.0,4.57,0.0,14.0,117.0,100.0,100.0,4.0,126.0,0.0,0.0,0.0,0.0,0.0,2092.0,22980.0,0.0,25941.0,356076.0,2499.0,28033.0,379056.0,2499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,4.0,53.0,13.5,0.0,5.0,13.5,0.0,1.9500000000000002,False,False,False,False,True
389,91.0,190.5,230.0,4.92,25.5,0.0,106.0,7.17,4.4,2.0,57.0,84573.0,142808.0,1034478.0,9592.0,3398.0,18990.0,-24352.0,247.0,0.0,0.0,0.0,18990.0,-24352.0,247.0,0.0,17.0,26.0,60.0,196.0,7.1,7.4,2.0,1.0,127.0,3.0,-3.0,-2.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0,2.68,False,True,False,False,False
390,71.0,193.04,207.0,4.55,31.5,0.0,126.0,7.08,4.3,6.0,171.0,29.0,29.0,290.0,0.0,0.0,164.0,3772.0,0.0,18174.0,293182.0,2644.0,18338.0,296954.0,2644.0,0.0,1.0,1.0,100.0,10.0,10.0,10.0,0.0,0.0,184.0,1.0,23.0,23.0,0.0,3.0,33.0,13.2,0.0,3.0,13.2,0.0,0.0,False,False,False,False,True
391,76.0,180.34,226.0,4.61,27.5,23.0,111.0,6.85,4.24,3.0,69.0,0.0,0.0,0.0,0.0,0.0,66003.0,319826.0,3955.0,10499.0,76371.0,745.0,76502.0,396197.0,4700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,49.0,4.9,1.0,2.0,10.0,6.8,0.0,12.0,5.2,0.0,4.2,True,False,False,False,False
392,101.0,180.34,231.0,4.68,32.0,0.0,122.0,7.01,4.2,6.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False
393,8.0,185.42,240.0,4.64,30.5,26.0,117.0,7.15,100.0,7.0,227.0,0.0,13.0,0.0,0.0,0.0,16876.0,88874.0,654.0,12962.0,126946.0,885.0,29838.0,215820.0,1539.0,232.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,4.8,0.0,2.0,22.0,9.0,0.0,5.0,6.3,17.9,16.6,True,False,False,False,False
394,197.0,190.5,221.0,4.49,29.5,15.0,126.0,100.0,100.0,6.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11156.0,199267.0,1142.0,11156.0,199267.0,1142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.0,17.0,0.0,3.0,17.0,0.0,0.0,False,False,False,False,True
395,23.0,177.8,169.0,4.35,0.0,0.0,120.0,100.0,100.0,2.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,False,False,False,False,True
396,4.0,175.26,182.0,4.33,29.5,0.0,122.0,6.81,4.38,2.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
397,39.0,180.34,197.0,4.24,35.0,0.0,130.0,100.0,100.0,1.0,24.0,427.0,910.0,5330.0,56.0,50.0,72394.0,388202.0,5186.0,33135.0,394057.0,3258.0,105529.0,782259.0,8444.0,348.3,3.0,4.0,75.0,20.0,2.6,1.5,0.0,0.0,100.0,3.0,15.0,5.3,0.0,2.0,21.0,10.0,0.0,3.0,8.4,8.1,14.55,False,False,True,False,False
398,69.0,180.34,177.0,4.5,32.0,14.0,118.0,6.75,4.18,6.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,True
399,144.0,190.5,213.0,4.53,33.5,0.0,110.0,7.56,4.42,5.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
400,8.0,177.8,207.0,4.44,33.5,0.0,124.0,6.9,4.19,1.0,22.0,0.0,0.0,0.0,0.0,0.0,57512.0,477759.0,3490.0,6731.0,60302.0,935.0,64243.0,538061.0,4425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,85.0,7.6,0.0,2.0,14.0,6.7,0.0,12.0,7.0,0.0,19.3,False,False,True,False,False
401,137.0,187.96,242.0,4.53,38.0,26.0,131.0,6.88,4.14,1.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,25400.0,341482.0,2360.0,25400.0,341482.0,2525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,45.0,11.5,0.0,4.0,11.5,0.0,6.5,False,False,False,True,False
